2023 Referendum Declaration Votes Issued By Division [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:19 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
DivisionID,DivisionNm,StateAb,Provisional,Absent,PrePoll,PrePollOwnDivision,Postal,PostalOwnDivision
179,Adelaide,SA,926,4323,4045,188,19119,17592
197,Aston,VIC,604,4260,0,0,15187,14882
198,Ballarat,VIC,744,3055,1496,75,11168,11154
103,Banks,NSW,857,4496,3972,120,10993,10950
180,Barker,SA,0,0,0,0,13952,13950
104,Barton,NSW,1170,4994,2901,109,10523,10415
192,Bass,TAS,821,2171,1997,184,11545,11400
318,Bean,ACT,945,1592,2079,465,8182,8037
200,Bendigo,VIC,633,2712,1163,126,12265,12116
105,Bennelong,NSW,927,5094,4676,146,14509,14174
106,Berowra,NSW,699,4345,1284,80,11675,11675
304,Blair,QLD,0,0,0,0,21045,20812
107,Blaxland,NSW,1537,4616,2303,136,10821,10641
310,Bonner,QLD,945,4921,3109,130,22614,21467
182,Boothby,SA,1275,6673,5741,972,18154,18154
155,Bowman,QLD,804,3029,2720,310,20851,20851
193,Braddon,TAS,674,1822,1950,106,7912,7874
108,Bradfield,NSW,629,3481,2592,126,12350,12350
235,Brand,WA,1131,3452,1702,111,11984,11741
156,Brisbane,QLD,1504,8986,6869,149,18414,18413
201,Bruce,VIC,1287,4967,385,0,15250,15249
317,Burt,WA,1289,4841,801,32,10771,10771
109,Calare,NSW,0,0,843,229,7800,7795
203,Calwell,VIC,1507,2894,0,0,16630,15927
101,Canberra,ACT,1062,2800,3158,39,9698,9695
236,Canning,WA,1055,4305,4466,284,13219,13189
157,Capricornia,QLD,0,0,0,0,12366,12270
204,Casey,VIC,959,4163,2904,149,15838,15286
111,Chifley,NSW,1633,3466,1348,80,11658,11383
205,Chisholm,VIC,841,6872,4094,115,16964,16964
319,Clark,TAS,748,3086,3344,147,9127,9001
112,Cook,NSW,961,4172,3207,255,12445,12243
320,Cooper,VIC,889,6231,0,0,13648,13396
328,Corangamite,VIC,753,5842,3430,166,16209,16025
208,Corio,VIC,918,4686,3932,264,13682,13682
237,Cowan,WA,1774,6605,2224,72,12276,12078
113,Cowper,NSW,0,0,0,0,9624,9621
114,Cunningham,NSW,807,4076,3653,165,10241,9975
238,Curtin,WA,1151,7497,5829,241,14696,14541
158,Dawson,QLD,1237,5236,1012,0,9589,9582
209,Deakin,VIC,792,5151,3105,170,19673,19670
252,Dickson,QLD,1015,4548,0,0,21562,21536
115,Dobell,NSW,1047,4766,2918,171,10589,10570
210,Dunkley,VIC,825,4301,3432,226,15815,15592
312,Durack,WA,719,3391,745,193,11105,11040
117,Eden-Monaro,NSW,0,0,0,0,10684,10678
159,Fadden,QLD,0,0,0,0,23300,22927
160,Fairfax,QLD,1302,5765,6021,260,14109,14008
118,Farrer,NSW,836,1469,4408,355,11568,11565
102,Fenner,ACT,0,0,0,0,7788,7787
161,Fisher,QLD,1250,5054,5681,392,20223,20223
211,Flinders,VIC,636,5469,5980,297,13870,13868
311,Flynn,QLD,0,0,0,0,13915,13915
162,Forde,QLD,0,0,0,0,22967,22960
239,Forrest,WA,902,4575,3876,193,11202,11116
119,Fowler,NSW,1406,4277,2784,276,9905,9905
195,Franklin,TAS,724,2669,1386,68,9859,9858
321,Fraser,VIC,644,2616,0,0,14642,14641
240,Fremantle,WA,973,5523,0,0,11685,11684
212,Gellibrand,VIC,654,2764,0,0,13944,13911
120,Gilmore,NSW,593,4522,4165,271,10766,10766
213,Gippsland,VIC,768,2184,3667,352,8861,8853
214,Goldstein,VIC,758,5050,3896,136,15913,15682
309,Gorton,VIC,1225,3485,0,0,16746,16744
121,Grayndler,NSW,919,7019,3518,66,10253,9953
122,Greenway,NSW,1235,5333,2375,136,11932,11932
183,Grey,SA,183,502,0,0,15180,15174
163,Griffith,QLD,1412,7972,4496,127,16974,16974
164,Groom,QLD,932,3046,5047,615,22601,22588
305,Hasluck,WA,1239,4918,4915,314,13463,13167
326,Hawke,VIC,1060,3015,3037,244,14223,14216
165,Herbert,QLD,1153,3142,5490,598,16586,16574
215,Higgins,VIC,945,8553,0,0,16262,16029
185,Hindmarsh,SA,1471,4854,2896,195,17005,17004
166,Hinkler,QLD,770,2722,2855,194,12891,12874
216,Holt,VIC,1704,4563,2206,168,13408,13407
217,Hotham,VIC,1176,5689,4500,96,16370,16369
124,Hughes,NSW,721,3442,1791,87,9810,9808
125,Hume,NSW,0,0,0,0,13112,13107
126,Hunter,NSW,1164,5138,3201,165,11037,10896
218,Indi,VIC,645,3161,4341,287,12505,12501
219,Isaacs,VIC,850,4751,3787,150,14825,14822
220,Jagajaga,VIC,730,5555,0,0,13777,13777
167,Kennedy,QLD,1495,3297,4628,216,10727,10713
127,Kingsford Smith,NSW,897,5229,988,34,10971,10970
186,Kingston,SA,1158,3016,2933,281,16490,16489
221,Kooyong,VIC,812,6905,0,0,16090,16090
223,La Trobe,VIC,1111,3953,0,0,16728,16728
222,Lalor,VIC,1706,2593,623,75,12854,12828
168,Leichhardt,QLD,1112,2855,7925,361,13637,13637
169,Lilley,QLD,1180,7512,5053,140,16197,16196
128,Lindsay,NSW,1297,4195,3442,393,12545,12545
306,Lingiari,NT,0,0,0,0,2734,2728
302,Longman,QLD,1367,4326,0,0,22569,22567
130,Lyne,NSW,0,0,0,0,10251,10249
196,Lyons,TAS,1216,4567,1335,109,10782,10782
131,Macarthur,NSW,1805,4862,3085,168,11763,11703
132,Mackellar,NSW,741,3650,2402,85,10988,10976
322,Macnamara,VIC,1100,8763,0,0,19541,19541
133,Macquarie,NSW,602,4181,3901,196,9611,9609
187,Makin,SA,1441,4664,3904,281,16029,16029
224,Mallee,VIC,206,992,4477,896,12292,12291
170,Maranoa,QLD,1080,4667,6614,300,18057,18048
225,Maribyrnong,VIC,835,5559,0,0,16614,16613
