2023 Referendum Declaration Votes Received By Division [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:19 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
DivisionID,DivisionNm,StateAb,Provisional,Absent,PrePoll,PrePollOwnDivision,Postal,PostalOwnDivision
179,Adelaide,SA,926,0,188,188,13017,13017
197,Aston,VIC,604,0,0,0,12153,12153
198,Ballarat,VIC,744,0,75,75,8523,8523
103,Banks,NSW,857,0,120,120,8690,8690
180,Barker,SA,0,0,0,0,10693,10693
104,Barton,NSW,1170,0,109,109,7868,7868
192,Bass,TAS,821,0,184,184,9048,9048
318,Bean,ACT,945,0,465,465,5742,5742
200,Bendigo,VIC,633,0,126,126,9236,9236
105,Bennelong,NSW,927,0,146,146,10553,10553
106,Berowra,NSW,699,0,80,80,9046,9046
304,Blair,QLD,0,0,0,0,14820,14820
107,Blaxland,NSW,1537,0,136,136,8252,8252
310,Bonner,QLD,945,0,130,130,15934,15934
182,Boothby,SA,1275,0,972,972,12573,12573
155,Bowman,QLD,804,0,310,310,15838,15838
193,Braddon,TAS,674,0,106,106,6118,6118
108,Bradfield,NSW,629,0,126,126,9070,9070
235,Brand,WA,1131,0,111,111,8496,8496
156,Brisbane,QLD,1504,0,149,149,13016,13016
201,Bruce,VIC,1287,0,0,0,12568,12568
317,Burt,WA,1289,0,32,32,7959,7959
109,Calare,NSW,0,0,229,229,5231,5231
203,Calwell,VIC,1507,0,0,0,12606,12606
101,Canberra,ACT,1062,0,39,39,6101,6101
236,Canning,WA,1055,0,284,284,8968,8968
157,Capricornia,QLD,0,0,0,0,6973,6973
204,Casey,VIC,959,0,149,149,12658,12658
111,Chifley,NSW,1633,0,80,80,8555,8555
205,Chisholm,VIC,841,0,115,115,13625,13625
319,Clark,TAS,748,0,147,147,6798,6798
112,Cook,NSW,961,0,255,255,9478,9478
320,Cooper,VIC,889,0,0,0,10240,10240
328,Corangamite,VIC,753,0,166,166,13024,13024
208,Corio,VIC,918,0,264,264,11309,11309
237,Cowan,WA,1774,0,72,72,8743,8743
113,Cowper,NSW,0,0,0,0,7338,7338
114,Cunningham,NSW,807,0,165,165,7614,7614
238,Curtin,WA,1151,0,241,241,9107,9107
158,Dawson,QLD,1237,0,0,0,6712,6712
209,Deakin,VIC,792,0,170,170,15788,15788
252,Dickson,QLD,1015,0,0,0,16305,16305
115,Dobell,NSW,1047,0,171,171,8317,8317
210,Dunkley,VIC,825,0,226,226,12641,12641
312,Durack,WA,719,0,193,193,6934,6934
117,Eden-Monaro,NSW,0,0,0,0,7866,7866
159,Fadden,QLD,0,0,0,0,15150,15150
160,Fairfax,QLD,1302,0,260,260,9700,9700
118,Farrer,NSW,836,0,355,355,8551,8551
102,Fenner,ACT,0,0,0,0,5559,5559
161,Fisher,QLD,1250,0,392,392,13179,13179
211,Flinders,VIC,636,0,297,297,11212,11212
311,Flynn,QLD,0,0,0,0,8417,8417
162,Forde,QLD,0,0,0,0,14432,14432
