QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,NSW,119,Abbotsbury,338,24.94,1017,75.06,1355,97.9,29,2.1,1384
1,NSW,144,Abbotsford,1406,53.56,1219,46.44,2625,99.02,26,0.98,2651
1,NSW,144,Abbotsford East,450,53.83,386,46.17,836,99.17,7,0.83,843
1,NSW,126,Aberdare,433,30.62,981,69.38,1414,98.06,28,1.94,1442
1,NSW,135,Aberdeen,137,18.49,604,81.51,741,99.33,5,0.67,746
1,NSW,249,Aberglasslyn,380,36.22,669,63.78,1049,98.41,17,1.59,1066
1,NSW,249,Abermain,198,23.08,660,76.92,858,98.96,9,1.04,867
1,NSW,122,Acacia Gardens,738,43.72,950,56.28,1688,98.2,31,1.8,1719
1,NSW,117,Adaminaby,36,21.18,134,78.82,170,99.42,1,0.58,171
1,NSW,136,Adamstown Heights (Newcastle),788,55.93,621,44.07,1409,98.05,28,1.95,1437
1,NSW,148,Adamstown Heights (Shortland),208,55.32,168,44.68,376,98.69,5,1.31,381
1,NSW,136,Adamstown North,903,56.3,701,43.7,1604,98.47,25,1.53,1629
1,NSW,136,Adamstown South,1019,60.05,678,39.95,1697,98.72,22,1.28,1719
1,NSW,117,Adelong,83,19.12,351,80.88,434,99.09,4,0.91,438
1,NSW,131,Airds,411,37.95,672,62.05,1083,98.72,14,1.28,1097
1,NSW,131,Airds North,208,58.43,148,41.57,356,99.16,3,0.84,359
1,NSW,150,Albion Park,379,37.01,645,62.99,1024,98.56,15,1.44,1039
1,NSW,150,Albion Park Heights,626,34.76,1175,65.24,1801,98.09,35,1.91,1836
1,NSW,150,Albion Park PPVC,2697,27.25,7200,72.75,9897,98.76,124,1.24,10021
1,NSW,150,Albion Park Rail,534,34.95,994,65.05,1528,98.26,27,1.74,1555
1,NSW,150,Albion Park South,505,41.91,700,58.09,1205,98.37,20,1.63,1225
1,NSW,118,Albury,851,53.15,750,46.85,1601,98.46,25,1.54,1626
1,NSW,118,Albury Central,428,52.32,390,47.68,818,97.03,25,2.97,843
1,NSW,118,Albury East,320,43.42,417,56.58,737,98.4,12,1.6,749
