2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:20 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,NT,306,Adelaide River,22,24.44,68,75.56,90,98.9,1,1.1,91
1,NT,306,Alice Springs,678,46.99,765,53.01,1443,99.04,14,0.96,1457
1,NT,306,Alice Springs PPVC,2745,44.59,3411,55.41,6156,99.18,51,0.82,6207
1,NT,307,Bakewell,333,27.91,860,72.09,1193,98.84,14,1.16,1207
1,NT,306,Batchelor,51,31.48,111,68.52,162,99.39,1,0.61,163
1,NT,306,Bees Creek,103,21.28,381,78.72,484,99.59,2,0.41,486
1,NT,307,Berrimah,65,27.2,174,72.8,239,100,0,0,239
1,NT,306,Berry Springs,121,23.96,384,76.04,505,99.41,3,0.59,508
1,NT,306,Braitling,274,40.59,401,59.41,675,98.54,10,1.46,685
1,NT,306,Coolalinga LINGIARI PPVC,1089,16.26,5609,83.74,6698,99.45,37,0.55,6735
1,NT,307,Coolalinga SOLOMON PPVC,349,20.71,1336,79.29,1685,99.23,13,0.77,1698
1,NT,307,Darwin,677,43.4,883,56.6,1560,98.92,17,1.08,1577
1,NT,306,Darwin LINGIARI PPVC,322,38.15,522,61.85,844,99.76,2,0.24,846
1,NT,307,Darwin SOLOMON PPVC,3063,38.83,4826,61.17,7889,99.43,45,0.57,7934
1,NT,307,Driver,252,29.17,612,70.83,864,98.97,9,1.03,873
1,NT,307,Durack,272,29.03,665,70.97,937,99.57,4,0.43,941
1,NT,306,Eaton LINGIARI PPVC,209,32.97,425,67.03,634,99.69,2,0.31,636
1,NT,307,Eaton SOLOMON PPVC,4129,32.38,8624,67.62,12753,99.27,94,0.73,12847
1,NT,306,EAV Lingiari PPVC,0,0,0,0,0,0,0,0,0
1,NT,307,EAV Solomon PPVC,0,0,0,0,0,0,0,0,0
1,NT,306,Gillen,378,35.83,677,64.17,1055,99.34,7,0.66,1062
1,NT,307,Gray,259,36.95,442,63.05,701,99.01,7,0.99,708
1,NT,306,Howard Springs,163,24.18,511,75.82,674,99.41,4,0.59,678
1,NT,306,Humpty Doo,192,21.89,685,78.11,877,98.43,14,1.57,891
1,NT,306,Ilparpa,58,35.58,105,64.42,163,98.79,2,1.21,165
1,NT,306,Jabiru PPVC,125,58.41,89,41.59,214,99.07,2,0.93,216
1,NT,306,Johnston (Lingiari),333,29.13,810,70.87,1143,99.65,4,0.35,1147
1,NT,307,Johnston (Solomon),64,29.77,151,70.23,215,97.73,5,2.27,220
1,NT,307,Karama,364,36.18,642,63.82,1006,98.72,13,1.28,1019
1,NT,307,Karama East,198,41.77,276,58.23,474,98.54,7,1.46,481
1,NT,306,Katherine,185,38.7,293,61.3,478,99.17,4,0.83,482
1,NT,306,Katherine East,71,38.38,114,61.62,185,99.46,1,0.54,186
1,NT,306,Katherine PPVC,719,27.84,1864,72.16,2583,99.46,14,0.54,2597
1,NT,306,Larapinta,172,38.74,272,61.26,444,97.58,11,2.42,455
1,NT,307,Leanyer,473,37.99,772,62.01,1245,98.34,21,1.66,1266
1,NT,307,Ludmilla,238,39.87,359,60.13,597,98.84,7,1.16,604
1,NT,307,Malak,513,44.07,651,55.93,1164,98.73,15,1.27,1179
1,NT,307,Millner,443,42.27,605,57.73,1048,99.15,9,0.85,1057
1,NT,307,Moil,492,40.39,726,59.61,1218,98.94,13,1.06,1231
1,NT,307,Nakara,556,48.22,597,51.78,1153,99.23,9,0.77,1162
1,NT,306,Nhulunbuy PPVC,591,47.05,665,52.95,1256,99.68,4,0.32,1260
1,NT,306,Other Mobile Team 1,319,72.67,120,27.33,439,98.65,6,1.35,445
1,NT,307,Other Mobile Team 1,101,63.52,58,36.48,159,99.38,1,0.63,160
1,NT,306,Other Mobile Team 2,542,85.76,90,14.24,632,98.75,8,1.25,640
1,NT,306,Palmerston LINGIARI PPVC,437,23.39,1431,76.61,1868,98.89,21,1.11,1889
1,NT,307,Palmerston SOLOMON PPVC,1522,24.43,4709,75.57,6231,99.24,48,0.76,6279
