2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:21 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,SA,186,Aberfoyle Park,428,47.35,476,52.65,904,98.91,10,1.09,914
1,SA,186,Aberfoyle Park Central,337,47.53,372,52.47,709,98.75,9,1.25,718
1,SA,186,Aberfoyle Park North,708,43.28,928,56.72,1636,98.49,25,1.51,1661
1,SA,186,Aberfoyle Park PPVC,2939,33.62,5803,66.38,8742,99.12,78,0.88,8820
1,SA,186,Aberfoyle Park South,397,47.26,443,52.74,840,99.06,8,0.94,848
1,SA,179,Adelaide,453,63.36,262,36.64,715,98.48,11,1.52,726
1,SA,179,Adelaide ADELAIDE PPVC,3400,59.1,2353,40.9,5753,99.16,49,0.84,5802
1,SA,180,Adelaide BARKER PPVC,58,34.12,112,65.88,170,98.84,2,1.16,172
1,SA,182,Adelaide BOOTHBY PPVC,1063,57.24,794,42.76,1857,99.15,16,0.85,1873
1,SA,179,Adelaide East,613,62.49,368,37.51,981,99.19,8,0.81,989
1,SA,183,Adelaide GREY PPVC,84,44.68,104,55.32,188,100,0,0,188
1,SA,185,Adelaide HINDMARSH PPVC,908,47.87,989,52.13,1897,99.16,16,0.84,1913
1,SA,186,Adelaide KINGSTON PPVC,378,52.65,340,47.35,718,99.17,6,0.83,724
1,SA,187,Adelaide MAKIN PPVC,491,45.05,599,54.95,1090,99.09,10,0.91,1100
1,SA,188,Adelaide MAYO PPVC,385,57.38,286,42.62,671,98.82,8,1.18,679
1,SA,179,Adelaide South,1121,68.9,506,31.1,1627,98.97,17,1.03,1644
1,SA,325,Adelaide SPENCE PPVC,246,45.81,291,54.19,537,99.26,4,0.74,541
1,SA,190,Adelaide STURT PPVC,1429,52.77,1279,47.23,2708,98.9,30,1.1,2738
1,SA,179,Adelaide West,415,66.83,206,33.17,621,98.89,7,1.11,628
1,SA,185,Albert Park,339,36.65,586,63.35,925,99.04,9,0.96,934
1,SA,188,Aldgate,882,61.72,547,38.28,1429,98.69,19,1.31,1448
1,SA,188,Aldinga Beach,338,53.91,289,46.09,627,98.9,7,1.1,634
1,SA,188,Aldinga Beach PPVC,2365,36.24,4161,63.76,6526,99.12,58,0.88,6584
1,SA,188,Aldinga Beach West,898,44.41,1124,55.59,2022,98.2,37,1.8,2059
1,SA,183,Alford,24,17.52,113,82.48,137,100,0,0,137
1,SA,179,Allenby Gardens (Adelaide),792,46.92,896,53.08,1688,99.12,15,0.88,1703
1,SA,185,Allenby Gardens (Hindmarsh),266,48.81,279,51.19,545,98.73,7,1.27,552
1,SA,188,American River,64,35.75,115,64.25,179,98.9,2,1.1,181
1,SA,183,Andamooka,37,24.03,117,75.97,154,100,0,0,154
1,SA,325,Andrews Farm,731,31.32,1603,68.68,2334,98.36,39,1.64,2373
1,SA,180,Angaston,368,42.06,507,57.94,875,99.43,5,0.57,880
1,SA,183,Angle Vale (Grey),22,20,88,80,110,96.49,4,3.51,114
1,SA,325,Angle Vale (Spence),348,22.54,1196,77.46,1544,98.97,16,1.03,1560
1,SA,183,Angle Vale North (Grey),85,21.09,318,78.91,403,99.26,3,0.74,406
1,SA,325,Angle Vale North (Spence),249,26.46,692,73.54,941,98.95,10,1.05,951
1,SA,183,Ardrossan,150,15.26,833,84.74,983,99.29,7,0.71,990
1,SA,183,Arno Bay,28,13.08,186,86.92,214,98.17,4,1.83,218
1,SA,183,Arthurton,21,12.8,143,87.2,164,99.39,1,0.61,165
