2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:20 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,TAS,193,Acton,314,26.7,862,73.3,1176,98.33,20,1.67,1196
1,TAS,195,Adventure Bay,82,54.3,69,45.7,151,98.05,3,1.95,154
1,TAS,195,Alonnah,123,53.25,108,46.75,231,99.57,1,0.43,232
1,TAS,319,Austins Ferry,567,38.92,890,61.08,1457,99.12,13,0.88,1470
1,TAS,196,Avoca,30,21.58,109,78.42,139,97.89,3,2.11,142
1,TAS,196,Bagdad,205,27.04,553,72.96,758,99.08,7,0.92,765
1,TAS,319,Battery Point,601,73.11,221,26.89,822,99.04,8,0.96,830
1,TAS,192,Beaconsfield,259,26.46,720,73.54,979,98.29,17,1.71,996
1,TAS,192,Beauty Point,208,33.23,418,66.77,626,99.37,4,0.63,630
1,TAS,195,Bellerive,728,63.14,425,36.86,1153,98.89,13,1.11,1166
1,TAS,195,Bellerive East,802,57.74,587,42.26,1389,99.36,9,0.64,1398
1,TAS,196,Bicheno,259,44.58,322,55.42,581,98.31,10,1.69,591
1,TAS,195,Blackmans Bay,579,58.25,415,41.75,994,99.2,8,0.8,1002
1,TAS,195,Blackmans Bay South,679,60.79,438,39.21,1117,99.11,10,0.89,1127
1,TAS,196,Blackstone Heights,166,33.4,331,66.6,497,98.81,6,1.19,503
1,TAS,193,Boat Harbour,137,33.33,274,66.67,411,97.86,9,2.14,420
1,TAS,196,Bothwell,65,19.76,264,80.24,329,98.5,5,1.5,334
1,TAS,196,Bracknell,89,20.89,337,79.11,426,99.3,3,0.7,429
1,TAS,192,Branxholm,84,44.44,105,55.56,189,98.44,3,1.56,192
1,TAS,196,Bridgewater,361,25.9,1033,74.1,1394,98.73,18,1.27,1412
1,TAS,196,Bridgewater North,72,30.13,167,69.87,239,100,0,0,239
1,TAS,192,Bridport,330,30.56,750,69.44,1080,98.9,12,1.1,1092
1,TAS,196,Brighton,544,25.65,1577,74.35,2121,98.88,24,1.12,2145
1,TAS,196,Broadmarsh,61,30.96,136,69.04,197,98.99,2,1.01,199
1,TAS,193,Burnie,359,38.23,580,61.77,939,99.16,8,0.84,947
1,TAS,193,Burnie PPVC,1888,26.6,5211,73.4,7099,99.11,64,0.89,7163
1,TAS,193,Calder,60,35.93,107,64.07,167,98.82,2,1.18,169
1,TAS,195,Cambridge,575,47.13,645,52.87,1220,98.55,18,1.45,1238
1,TAS,196,Campania,160,29.41,384,70.59,544,99.09,5,0.91,549
1,TAS,196,Campbell Town,205,31.35,449,68.65,654,98.49,10,1.51,664
1,TAS,196,Carlton,137,62.27,83,37.73,220,99.55,1,0.45,221
1,TAS,196,Carrick,176,25.73,508,74.27,684,99.13,6,0.87,690
1,TAS,319,Cascades,601,85.73,100,14.27,701,99.72,2,0.28,703
1,TAS,319,Chigwell,365,37.13,618,62.87,983,98.6,14,1.4,997
1,TAS,196,Chudleigh,86,27.22,230,72.78,316,98.44,5,1.56,321
1,TAS,319,Claremont,447,43.31,585,56.69,1032,97.36,28,2.64,1060
1,TAS,319,Claremont North,254,40.19,378,59.81,632,98.29,11,1.71,643
1,TAS,319,Claremont South,499,38.74,789,61.26,1288,99.92,1,0.08,1289
1,TAS,195,Clarendon Vale,326,33.68,642,66.32,968,98.07,19,1.93,987
