2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:22 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,VIC,228,Abbotsford,765,83.42,152,16.58,917,99.14,8,0.86,925
1,VIC,320,Abbotsford COOPER PPVC,877,87.26,128,12.74,1005,99.41,6,0.59,1011
1,VIC,221,Abbotsford KOOYONG PPVC,2187,68,1029,32,3216,99.63,12,0.37,3228
1,VIC,228,Abbotsford MELBOURNE PPVC,10352,78.78,2788,21.22,13140,99.39,81,0.61,13221
1,VIC,228,Abbotsford South,866,85.4,148,14.6,1014,99.02,10,0.98,1024
1,VIC,234,Abbotsford WILLS PPVC,421,88.26,56,11.74,477,99.58,2,0.42,479
1,VIC,225,Aberfeldie,724,56.52,557,43.48,1281,99.46,7,0.54,1288
1,VIC,309,Aintree,1094,52.8,978,47.2,2072,99.52,10,0.48,2082
1,VIC,233,Aireys Inlet,432,76.6,132,23.4,564,98.95,6,1.05,570
1,VIC,225,Airport West,980,40.56,1436,59.44,2416,98.65,33,1.35,2449
1,VIC,203,Aitken Creek,860,50.35,848,49.65,1708,98.84,20,1.16,1728
1,VIC,212,Alamanda,895,54.34,752,45.66,1647,99.4,10,0.6,1657
1,VIC,322,Albert Park,842,67.25,410,32.75,1252,99.37,8,0.63,1260
1,VIC,213,Alberton,93,21.73,335,78.27,428,99.3,3,0.7,431
1,VIC,321,Albion,728,58.66,513,41.34,1241,97.56,31,2.44,1272
1,VIC,218,Albury INDI PPVC,389,38.51,621,61.49,1010,99.41,6,0.59,1016
1,VIC,218,Alexandra,386,29.78,910,70.22,1296,99.08,12,0.92,1308
1,VIC,322,Alfred Square,1159,79.55,298,20.45,1457,98.58,21,1.42,1478
1,VIC,198,Alfredton,435,43.67,561,56.33,996,98.61,14,1.39,1010
1,VIC,198,Alfredton West,1015,46.41,1172,53.59,2187,98.83,26,1.17,2213
1,VIC,233,Allansford,210,29.87,493,70.13,703,99.58,3,0.42,706
1,VIC,320,Alphington,1095,79,291,21,1386,99.21,11,0.79,1397
1,VIC,212,Altona,787,57.19,589,42.81,1376,98.57,20,1.43,1396
1,VIC,212,Altona Bay,330,45.14,401,54.86,731,98.38,12,1.62,743
1,VIC,212,Altona Gate,679,51.48,640,48.52,1319,98.8,16,1.2,1335
1,VIC,212,Altona Green,1034,47.41,1147,52.59,2181,98.51,33,1.49,2214
1,VIC,212,Altona Lakes,389,51.87,361,48.13,750,98.17,14,1.83,764
1,VIC,212,Altona Meadows,741,50.48,727,49.52,1468,98.52,22,1.48,1490
1,VIC,212,Altona Meadows East,338,48.56,358,51.44,696,98.58,10,1.42,706
1,VIC,212,Altona North,567,46.82,644,53.18,1211,93.73,81,6.27,1292
1,VIC,212,Altona West,777,56.18,606,43.82,1383,98.72,18,1.28,1401
1,VIC,208,Anakie,82,24.7,250,75.3,332,98.52,5,1.48,337
1,VIC,233,Anglesea,651,70.99,266,29.01,917,99.35,6,0.65,923
1,VIC,209,Antonio Park (Deakin),283,63.03,166,36.97,449,98.46,7,1.54,456
1,VIC,229,Antonio Park (Menzies),384,57.74,281,42.26,665,99.11,6,0.89,671
1,VIC,233,Apollo Bay,568,59.29,390,40.71,958,98.66,13,1.34,971
1,VIC,224,Apsley,58,21.56,211,78.44,269,99.26,2,0.74,271
1,VIC,233,Ararat,219,24.15,688,75.85,907,98.91,10,1.09,917
1,VIC,233,Ararat PPVC,779,24.42,2411,75.58,3190,99.28,23,0.72,3213
1,VIC,233,Ararat West,222,29.21,538,70.79,760,98.57,11,1.43,771
1,VIC,323,Arawata,52,22.61,178,77.39,230,99.14,2,0.86,232
1,VIC,324,Ardmona,84,22.76,285,77.24,369,98.93,4,1.07,373
1,VIC,215,Armadale,728,67.47,351,32.53,1079,99.63,4,0.37,1083
1,VIC,215,Armadale Central,358,73.97,126,26.03,484,99.59,2,0.41,486
1,VIC,215,Armadale North,382,62.32,231,37.68,613,99.35,4,0.65,617
1,VIC,328,Armstrong Creek East,955,57.29,712,42.71,1667,98.93,18,1.07,1685
1,VIC,226,Arthurs Creek,166,39.24,257,60.76,423,100,0,0,423
1,VIC,225,Ascot Vale,510,75.67,164,24.33,674,99.26,5,0.74,679
1,VIC,225,Ascot Vale Central,903,70.82,372,29.18,1275,98.99,13,1.01,1288
1,VIC,225,Ascot Vale East,1025,76.32,318,23.68,1343,98.9,15,1.1,1358
1,VIC,225,Ascot Vale West,550,75.55,178,24.45,728,99.05,7,0.95,735
1,VIC,215,Ashburton (Higgins),782,63.37,452,36.63,1234,98.41,20,1.59,1254
1,VIC,221,Ashburton (Kooyong),287,64.21,160,35.79,447,99.55,2,0.45,449
1,VIC,205,Ashburton CHISHOLM PPVC,1280,51.84,1189,48.16,2469,99.32,17,0.68,2486
1,VIC,215,Ashburton HIGGINS PPVC,3321,59.12,2296,40.88,5617,99.56,25,0.44,5642
1,VIC,221,Ashburton KOOYONG PPVC,703,57.39,522,42.61,1225,99.03,12,0.97,1237
1,VIC,322,Ashburton MACNAMARA PPVC,93,60,62,40,155,99.36,1,0.64,156
1,VIC,228,Ashburton MELBOURNE PPVC,55,71.43,22,28.57,77,100,0,0,77
1,VIC,215,Ashburton South,900,68.18,420,31.82,1320,98.8,16,1.2,1336
1,VIC,205,Ashwood,872,57.9,634,42.1,1506,98.95,16,1.05,1522
1,VIC,219,Aspendale,1126,63.33,652,36.67,1778,98.61,25,1.39,1803
1,VIC,219,Aspendale Central,324,55.57,259,44.43,583,98.98,6,1.02,589
1,VIC,219,Aspendale Gardens,684,51.39,647,48.61,1331,98.59,19,1.41,1350
1,VIC,203,Attwood,272,39.31,420,60.69,692,98.72,9,1.28,701
1,VIC,324,Avenel,141,35.7,254,64.3,395,99,4,1,399
1,VIC,224,Avoca,180,24.32,560,75.68,740,99.06,7,0.94,747
1,VIC,225,Avondale Heights,304,44.77,375,55.23,679,96.72,23,3.28,702
1,VIC,225,Avondale Heights Central,508,40.06,760,59.94,1268,98.68,17,1.32,1285
1,VIC,225,Avondale Heights West,174,43.28,228,56.72,402,99.5,2,0.5,404
1,VIC,200,Axe Creek,210,42.6,283,57.4,493,98.8,6,1.2,499
1,VIC,200,Axedale,184,29.02,450,70.98,634,99.06,6,0.94,640
1,VIC,326,Bacchus Marsh,471,44.18,595,55.82,1066,98.61,15,1.39,1081
1,VIC,326,Bacchus Marsh PPVC,2738,32.03,5811,67.97,8549,99,86,1,8635
1,VIC,204,Badger Creek,422,49.41,432,50.59,854,98.96,9,1.04,863
1,VIC,213,Bairnsdale,316,37.31,531,62.69,847,98.95,9,1.05,856
