2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:21 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,WA,239,Acton Park,47,19.11,199,80.89,246,98.8,3,1.2,249
1,WA,243,Albany,637,39.86,961,60.14,1598,98.82,19,1.18,1617
1,WA,243,Albany PPVC,3754,26.54,10392,73.46,14146,99.24,109,0.76,14255
1,WA,237,Alexander Heights,564,39.11,878,60.89,1442,98.5,22,1.5,1464
1,WA,237,Alexander Heights West,366,37.5,610,62.5,976,99.09,9,0.91,985
1,WA,244,Alkimos,332,32.61,686,67.39,1018,99.61,4,0.39,1022
1,WA,244,Alkimos PPVC,1185,28.99,2903,71.01,4088,99.42,24,0.58,4112
1,WA,244,Alkimos West,600,37.08,1018,62.92,1618,98.78,20,1.22,1638
1,WA,243,Allanson,50,30.12,116,69.88,166,99.4,1,0.6,167
1,WA,248,Applecross,888,44.83,1093,55.17,1981,99.05,19,0.95,2000
1,WA,240,Applecross FREMANTLE PPVC,316,46.2,368,53.8,684,99.42,4,0.58,688
1,WA,247,Applecross SWAN PPVC,1326,39.55,2027,60.45,3353,99.64,12,0.36,3365
1,WA,248,Applecross TANGNEY PPVC,2018,34.37,3853,65.63,5871,99.64,21,0.36,5892
1,WA,248,Ardross,287,43.48,373,56.52,660,99.4,4,0.6,664
1,WA,248,Ardross West,441,46.03,517,53.97,958,99.17,8,0.83,966
1,WA,317,Armadale,563,36.77,968,63.23,1531,98.65,21,1.35,1552
1,WA,317,Armadale BURT PPVC,2167,25.27,6410,74.73,8577,99.29,61,0.71,8638
1,WA,236,Armadale CANNING PPVC,536,23.48,1747,76.52,2283,99.35,15,0.65,2298
1,WA,317,Armadale East (Burt),240,36.25,422,63.75,662,98.81,8,1.19,670
1,WA,236,Armadale East (Canning),209,28.4,527,71.6,736,99.33,5,0.67,741
1,WA,317,Armadale North,258,33.77,506,66.23,764,99.35,5,0.65,769
1,WA,317,Armadale South,81,31.89,173,68.11,254,99.61,1,0.39,255
1,WA,317,Armadale West,541,31.45,1179,68.55,1720,98.79,21,1.21,1741
1,WA,245,Ashfield,441,58.88,308,41.12,749,99.21,6,0.79,755
1,WA,248,Attadale,921,46.05,1079,53.95,2000,99.6,8,0.4,2008
1,WA,240,Atwell,786,38.93,1233,61.07,2019,99.02,20,0.98,2039
